vendor_tenure_months,on_time_delivery_rate,financial_stability_score,breach_disclosure_count,security_cert_flag,geo_risk_flag,incident_occurred
45,0.8017705644158702,0.4685088582286187,1,0,0,1
10,0.9496877703419982,0.7335950661079614,1,0,0,0
56,0.7210095703679567,0.3619150906809351,0,1,0,0
95,0.8018372615513456,0.9075071189525419,0,0,0,0
23,0.6585756713782902,0.8246286713621953,0,1,1,0
56,0.8369168206595485,0.7423090458378382,0,0,1,0
16,0.7766044519278175,0.5339461314130928,1,1,1,0
82,0.8669194350922101,0.6370712533618389,1,0,0,0
57,0.5992675756172732,0.6866832326644837,1,0,0,0
40,0.8674440471634757,0.5952895130014041,0,1,0,0
28,0.9531190450553395,0.8429347376453472,0,0,0,0
68,0.3403586218307336,0.5556071364252461,1,0,0,0
80,0.36557984225499585,0.6769651502652929,0,0,0,0
112,0.9259919303528469,0.5831053196247772,0,1,1,0
53,0.669929525180068,0.5440702185576098,1,1,0,0
20,0.7040568264304207,0.7668540397505744,1,0,0,0
100,0.47422304163300566,0.6996355679179758,1,0,0,0
75,0.69110596125545,0.5040732130067711,0,0,0,0
84,0.8354187540430826,0.6819031662804033,3,1,0,0
12,0.9297661339398585,0.8891654045277354,0,0,0,1
38,0.9797072883013157,0.5793031046076429,0,0,0,0
92,0.5571630026703887,0.7501376769338207,0,1,0,0
100,0.7234930351654786,0.6141211505184723,0,0,0,0
52,0.7725174472478773,0.7677385655819419,0,1,0,0
96,0.804398283285119,0.6811762849581978,1,0,0,0
101,0.8861572385386184,0.6833083890764701,0,0,0,0
47,0.7417426391301357,0.5545655493811861,0,0,0,0
107,0.649815310190112,0.6049576664184924,0,0,1,0
35,0.6810599592485215,0.9385358235717337,0,1,0,0
29,0.5860129390114573,0.37072848729550617,0,1,0,0
82,0.6018784204576765,0.8267090747531507,0,1,0,0
76,0.7945265758181081,0.6794293229008603,0,0,0,0
17,0.9306140597523657,0.6917636144999342,1,0,0,0
100,0.9212022395778846,0.500814442737207,0,1,1,0
24,0.9049109261249009,0.49703488204479523,0,1,0,0
96,0.7434008007669356,0.5505271864105165,0,1,0,0
1,0.7208734759798785,0.5305063149186837,0,0,0,0
95,0.905090980414209,0.5465395274859464,1,0,0,0
94,0.9623929809032813,0.7960479946232245,0,0,0,0
93,0.8937027821046918,0.38269741376162564,0,0,0,1
80,0.5882536859855476,0.8442760227912943,1,1,1,0
57,0.7885893584153211,0.5305784309229614,0,0,0,0
84,0.7291417704017705,0.3630917026227543,1,0,0,0
33,0.8791466389982476,0.3883984258793248,0,1,0,0
93,0.8971173302789303,0.43871754141660124,0,0,1,0
67,0.7757849525310042,0.41324086384792086,0,1,0,0
55,0.9488472588494044,0.6914513469319199,1,0,0,0
61,0.9050899013532189,0.9532976241316564,0,0,1,0
68,0.9349115214373194,0.5851223476427289,0,0,0,0
5,0.5304112778259055,0.9044678224182188,0,0,0,0
17,0.8068907627957529,0.5945476965195357,1,1,0,0
30,0.5043496666903702,0.8212290393275746,1,0,0,1
14,0.7700180828072574,0.4063049294351391,0,0,0,0
53,0.9431515630389248,0.6821056324515536,0,0,1,0
80,0.6087750920960557,0.5802484878916421,1,0,1,1
78,0.5797142732609006,0.5252171311891826,0,1,0,1
57,0.8583041737525648,0.4475265186182292,1,0,0,0
102,0.670069980014313,0.6527914896211133,0,0,0,0
68,0.6171922146197507,0.20993086486007453,0,1,0,1
10,0.6879668901979611,0.6551670446704266,1,0,0,1
92,0.9104814456862163,0.5450009428754734,0,0,1,1
69,0.7013503933811157,0.7236929405283784,0,0,0,0
76,0.9299971948165474,0.7688502218289591,0,0,0,0
68,0.9197582329138438,0.9545830593817887,0,0,0,0
66,0.7576478805821305,0.309979353418871,0,0,0,1
11,0.7154151282204279,0.4885936147228259,0,1,0,0
67,0.6829718590214039,0.26493354954907666,0,0,0,0
95,0.9791582912032312,0.5543348753519503,1,0,0,0
37,0.6450542940973606,0.2603084607166154,0,0,0,1
72,0.5923538622637944,0.41934975390424434,2,0,0,0
4,0.7751808815293095,0.7047253825779419,0,0,0,0
42,0.9592636451131328,0.46585061812651973,0,0,0,0
52,0.9265737268672253,0.5594430753648645,0,0,0,0
117,0.530286567518891,0.29777738458780906,0,0,0,0
26,0.7416487116331738,0.8367163941354056,0,0,0,0
33,0.4077252672207957,0.5180781394730337,0,1,1,0
49,0.5868779596704888,0.5241663627548371,0,0,0,1
119,0.7654852121136193,0.6795617326709839,0,0,0,0
102,0.7857579379059629,0.344767248635,0,0,1,0
5,0.3832004354947044,0.28584911483510295,0,0,0,1
28,0.7891473323502606,0.6725585033558857,1,0,1,1
98,0.6634674142683508,0.5990272500830454,0,0,1,0
7,0.514598534640929,0.6299329485590847,0,1,0,0
102,0.7675497128915081,0.780836712855606,0,0,0,0
34,0.7978055783571871,0.9356862292914675,0,0,0,0
110,0.9639845280013996,0.8008654285077321,0,1,0,0
35,0.7130905263464584,0.8218240757965322,0,1,0,0
52,0.64342204093404,0.9060057288689606,0,0,0,0
79,0.8611887952020827,0.7579949293695213,0,0,0,0
16,0.7768496698946468,0.8044599956574636,0,0,0,0
67,0.8651775942826138,0.6119480597508381,0,1,1,0
61,0.6996167078587155,0.7534524608879086,0,0,0,0
94,0.8894080489340283,0.7202468457532769,1,0,1,0
119,0.5729078663598866,0.40332770064170037,0,0,0,0
80,0.8026332334525943,0.48571832577511637,0,0,0,0
49,0.7952097868512559,0.4966939110999123,0,1,0,0
49,0.47968924955050934,0.4521712210268969,0,0,0,1
50,0.6926817143219509,0.6100871496381968,0,1,0,0
97,0.37297909392870204,0.7214574368271918,1,0,1,0
39,0.7694390415125071,0.4920569892891138,0,1,0,0
20,0.7981364650778333,0.5359270657669238,0,0,0,0
40,0.9037186190847589,0.8473393521477052,0,1,0,0
3,0.8570574165381305,0.48675190600661367,0,0,0,0
13,0.7484498246431383,0.6727559411890391,1,0,0,0
11,0.6951658196348468,0.46638346061219454,0,0,1,1
92,0.5768811091571474,0.5504075914168869,0,1,0,0
86,0.7330579522279854,0.5724209467312582,0,1,0,0
83,0.8470344934055211,0.7023452663272309,0,0,1,1
55,0.9192661537271156,0.5606098822583317,0,0,0,0
86,0.785644502757941,0.5657871907941097,0,0,0,0
20,0.6400780316801628,0.7932843713459696,0,0,0,0
108,0.8175159336990505,0.6418107661252757,0,0,0,0
60,0.7558773305207531,0.560356175731688,1,0,1,0
112,0.8699368947999951,0.643858487028151,2,1,0,0
19,0.6829264058858753,0.7976408328629306,1,0,0,0
60,0.7044773406528693,0.5965784678531456,2,0,1,1
83,0.7303118262707868,0.6856588720505179,0,0,0,0
59,0.7837376757718664,0.7914071338579094,0,0,1,0
54,0.7539746021025826,0.6453402443951535,1,0,0,0
20,0.8094608741290231,0.7716822606389103,1,0,1,1
46,0.5111324411945584,0.7469413987198436,1,0,0,0
29,0.7218100089045271,0.8977437087899472,0,1,0,0
36,0.7490322498846902,0.4759649211416711,1,0,0,0
82,0.9587823559648595,0.7599521983551778,1,0,0,0
76,0.8836520791072283,0.8690152243477157,0,0,0,0
73,0.733941037939619,0.6182187295113284,0,0,0,0
44,0.9390327990362151,0.6752765155954675,1,1,0,0
115,0.8043635861619391,0.8003216404980716,0,1,0,0
11,0.8601326897450784,0.6444866973111468,1,1,0,0
41,0.9013035283022984,0.5395543117627681,0,0,0,0
15,0.9535387566436818,0.687932497080472,0,1,0,0
41,0.7755094204255739,0.7338964197862553,1,0,0,0
115,0.938661558410582,0.4954028355153746,0,0,0,0
44,0.6190699487320738,0.5611808358559564,0,0,0,0
109,0.8789432238647644,0.7790250300790944,0,1,0,0
59,0.806923115117555,0.8050602100146332,1,0,0,0
84,0.8232217196728546,0.7629492034667572,0,1,0,0
55,0.6783727856946405,0.4270142398911271,0,0,1,0
32,0.935689534333112,0.8446560755728519,0,1,0,0
91,0.8753497651194807,0.6797178965370417,0,1,0,0
116,0.820328011916589,0.7680925785508699,1,1,0,0
32,0.7429779050282213,0.5152694139171994,0,0,0,0
93,0.9344619243354898,0.7696124481756836,0,1,0,0
32,0.6033488054116898,0.5817657834359128,0,0,0,0
86,0.8093004934148772,0.544312610007062,1,0,0,0
94,0.7397866181350478,0.2929261370098554,1,0,0,1
54,0.5733984181700695,0.5186605417644308,0,1,0,0
88,0.7914171895187615,0.7155412884199641,0,1,0,0
33,0.8757223735893866,0.7726872808624886,0,0,1,1
10,0.9300783213693765,0.43549643246312614,1,1,0,0
12,0.7677716822611707,0.7031595551538883,0,0,0,0
54,0.822696534943502,0.7061438888248298,0,0,0,0
108,0.8712672744444613,0.6053596474103303,0,0,0,0
16,0.8735976222078018,0.7112791584690656,2,1,0,0
55,0.8735008729797415,0.5340985492868252,1,0,0,0
84,0.902466861713628,0.8730904790629621,0,1,0,0
25,0.7323943170011211,0.5675843601258947,0,0,1,0
86,0.9317128680341078,0.7076220579378807,0,1,0,0
37,0.8795044268649558,0.7117406678733393,1,0,0,0
97,0.8310118385646558,0.7638200863053828,0,0,0,0
69,0.6434177269994316,0.24640462776041164,2,1,0,0
66,0.7490469609906548,0.8408880156315133,0,1,0,0
22,0.8996586679566565,0.620853968292455,2,1,0,0
56,0.8551595273993943,0.333626092600606,0,1,0,0
102,0.742779077594357,0.7063465687669214,0,1,1,0
3,0.8756872395773796,0.7983010664308445,0,0,0,0
91,0.8043255500383235,0.5459261630350172,0,0,0,0
59,0.7659042828371979,0.6259048273151446,0,1,0,0
86,0.5966795223884406,0.6837171922568611,0,0,1,0
79,0.7094729566720616,0.2613428990566657,0,1,0,0
52,0.7749427787716789,0.47666773448587973,0,0,0,1
37,0.6221813292378523,0.5751005597974801,0,1,0,0
75,0.8598406805693456,0.43787967524811444,1,0,0,1
17,0.7235368988548507,0.8947328856225109,0,0,0,0
70,0.7096400454539744,0.8027567754936163,0,1,0,0
12,0.9590529228547313,0.6984257625562682,0,1,1,0
78,0.9273086805966216,0.7145041796110888,0,0,0,0
75,0.4237094595954465,0.8677730931201892,0,0,0,0
11,0.957009648312378,0.6191039500245012,0,0,1,0
91,0.9146144321489973,0.7229515265705705,0,0,0,0
50,0.7268039683704035,0.6946782000470303,0,0,0,0
94,0.75191568450182,0.6991063161657863,0,0,1,0
5,0.5771364029820018,0.734798306080598,2,0,0,0
22,0.615452894868192,0.42653387926713915,0,0,1,0
59,0.5731353872955396,0.5002198536402801,0,0,0,0
23,0.8537585533716432,0.6219136557753,0,1,0,1
40,0.7488769199953321,0.6752636163527453,0,0,0,0
79,0.8454100908634103,0.4645204121924639,0,1,0,0
18,0.8521047606024187,0.6789312164961223,0,1,0,0
81,0.9026664198362895,0.5279112488332783,0,0,0,0
13,0.3112914417025468,0.5262742828819554,0,1,0,0
21,0.7631515873132502,0.840769958737911,1,1,0,0
70,0.872118316386986,0.5917941169043657,0,1,1,0
95,0.9227065454578595,0.4971497856421685,0,0,1,0
21,0.8750904750721606,0.8320948667580834,0,0,0,1
36,0.6090815810789737,0.42861603032104095,0,1,0,0
111,0.770818560540457,0.7335399571150312,0,1,0,0
118,0.9584519517341884,0.7569673883260561,0,0,1,0
70,0.37595958088165476,0.4383341097895547,0,0,0,0
54,0.867520665430255,0.931469918378636,1,1,1,0
42,0.8329197982695419,0.703449539799297,0,0,0,0
73,0.8365075051093905,0.8449680669075902,0,0,0,0
71,0.6685017965209719,0.40944996532653355,0,1,0,0
36,0.6247220085859819,0.5584733933455236,0,0,1,0
3,0.7955151718699964,0.7038597255364972,0,0,0,1
19,0.8819432759356992,0.6974742158055267,0,0,0,0
115,0.39559396882044673,0.7658564712016162,0,0,0,1
50,0.7933490412020778,0.47293548681065684,0,0,0,0
58,0.8712889858360373,0.8729807254272814,1,0,0,0
56,0.3939601108587181,0.5683117258110055,0,0,0,0
94,0.8572043789246093,0.562925996155597,0,0,1,1
8,0.4145533886848376,0.9590759330824964,0,0,0,0
10,0.2920270414500765,0.5972998849115221,0,0,1,1
33,0.624305661251148,0.6943151884661328,1,0,0,0
58,0.5559344169502962,0.4354072448588834,0,1,0,0
80,0.6396140908456299,0.7072938264497602,0,1,1,0
59,0.9261262340670697,0.587002006782141,0,0,1,1
53,0.9604220032723532,0.1355177598051589,0,0,1,0
112,0.9238232387684185,0.377799561422204,0,1,1,0
20,0.5396109968769389,0.5706850293503704,0,0,0,0
69,0.8400371240891625,0.5267096180644175,0,1,0,0
65,0.8625754074035308,0.7499093201830366,0,0,1,0
57,0.9366257041838435,0.28020659404196313,0,0,0,0
97,0.6837134859927183,0.8239357232063471,0,1,0,0
32,0.7364114466345035,0.6637466419729469,1,0,0,0
114,0.7696386344330989,0.527343365484152,0,1,0,0
40,0.7277183208484943,0.7350158527030697,0,0,0,0
65,0.6208730955758801,0.7572435846591229,0,1,0,0
62,0.7349826046990382,0.5789492314382566,0,0,0,0
102,0.5473777039699423,0.8038694943487003,0,0,0,0
53,0.5817658657249349,0.5777305573797531,0,1,0,0
34,0.4537025241041535,0.5694718109621343,1,1,0,0
3,0.9047271833660938,0.882038962829354,0,1,0,0
44,0.4607367726490561,0.8446567040390619,0,0,0,1
99,0.558252577826064,0.8809382834853534,0,0,0,0
2,0.924411198507112,0.43775062663892406,0,0,0,1
107,0.8163423878667256,0.7518200057839808,0,0,0,0
65,0.7380119248275733,0.7276749408409573,0,0,0,0
17,0.5169540778423294,0.5525650511589109,0,0,0,0
36,0.921076403051098,0.543926365132081,0,0,0,0
66,0.8311281641633074,0.42344814968668876,1,0,0,0
38,0.5518385897048016,0.6461614148574336,0,0,0,1
13,0.5434041393811392,0.6976653435586246,1,0,0,0
80,0.9124905128606041,0.6456312013501962,0,0,0,0
80,0.6245436297992355,0.6365798984468612,0,1,1,0
15,0.24206466989585304,0.5067735287985201,1,1,0,1
34,0.6044160565347299,0.5347878227028173,0,0,1,0
30,0.5870946428607005,0.5709616580121181,1,1,0,0
79,0.6439540208469615,0.5720352670223924,3,0,1,0
87,0.7581870004937593,0.6536213079438968,0,0,0,0
87,0.7304504926763475,0.7896542665832419,0,0,0,0
112,0.6379121593980505,0.5537811346260345,0,0,0,0
92,0.9268046503009623,0.8079067215133714,0,1,0,0
39,0.4026565743083587,0.8555918133053388,1,0,0,1
13,0.5525369493071763,0.4714837830940497,0,1,0,0
74,0.364540841771994,0.3932981557726544,0,0,1,1
110,0.7696394664288471,0.6809338955724467,0,0,0,0
117,0.8980812569620036,0.6021253370530936,0,0,0,0
28,0.7884422230986882,0.7612845569401716,0,0,0,0
29,0.8510170404716195,0.7278855807445948,1,0,1,0
5,0.8567749714792028,0.7621298025165034,0,0,0,0
17,0.6690039328306622,0.6530142350482662,0,0,0,0
67,0.8115153045524331,0.7276984947453286,0,0,0,0
66,0.7071878266611819,0.4516480785617779,1,1,0,0
45,0.5202102595578657,0.6176258012145781,0,1,1,0
37,0.8675367058498522,0.628699981742971,1,0,0,0
99,0.8557997447467877,0.6549487166882212,0,1,0,0
55,0.7758985274775723,0.3536988353448882,1,0,0,0
97,0.8239795337637904,0.4778879533905465,0,0,0,0
115,0.7707549798387523,0.6120001700062925,0,0,0,0
38,0.7971396381107753,0.589869915609629,0,1,0,0
25,0.6397107834554732,0.54722217683967,0,0,0,1
114,0.7685749890092219,0.5848223331775044,0,1,0,0
76,0.599282718953575,0.4750858941478936,0,0,0,0
35,0.7418135416868363,0.6583570739387032,0,0,0,1
75,0.7748080920418943,0.7486884698720873,1,1,0,0
62,0.9464908467841272,0.6981658932017769,1,1,0,0
108,0.7576742084472656,0.37792624260353475,0,1,1,0
31,0.48338279863322375,0.8612239611858195,0,0,1,0
118,0.815558714115821,0.8572520818925321,1,0,0,0
112,0.9268571026419283,0.765294386656981,1,1,0,0
22,0.877735219969227,0.7271112185739589,0,1,0,0
20,0.7667592327381638,0.7581675941397267,0,0,0,0
64,0.7735996160362788,0.43050051106935083,0,1,0,0
6,0.49209241242183893,0.7771923890550935,0,0,1,0
36,0.414832232084626,0.7427899592208601,0,0,1,1
52,0.8344878955293917,0.7747581598559528,0,0,0,1
116,0.7418422307836585,0.5266561647882149,0,0,0,0
119,0.9637839862923836,0.7189003241255059,0,0,0,0
19,0.7006248863979639,0.4853601690198776,0,0,1,0
107,0.7133397465154702,0.8105976598696816,0,1,1,0
11,0.7484553239484422,0.2674124375453789,0,1,0,0
90,0.7039093027199838,0.6503389784785469,0,0,0,0
101,0.7261216919547653,0.844016479258258,0,1,0,0
107,0.6836448230495553,0.4955710069758675,0,0,0,1
27,0.9229637281009773,0.8427276886816585,1,0,0,0
107,0.7883438393698481,0.6619394882998019,0,0,0,0
14,0.6488470294267344,0.6843955806138353,1,1,0,0
62,0.6976238062673841,0.8103149127438769,0,0,1,1
56,0.5208921183097095,0.2999779843310557,2,0,0,0
38,0.5928404129353434,0.6815938520780087,0,1,0,0
3,0.7513073973834117,0.589359315880179,0,0,0,0
92,0.7470867951321871,0.7627781583986881,2,0,0,0
40,0.6093809312122435,0.40933503555386785,0,0,0,1
79,0.9147158688023095,0.546759859098447,0,0,0,0
49,0.8220484599529143,0.5985602580571353,0,1,0,0
45,0.7503039532544626,0.4690357990934937,0,0,0,1
106,0.7526851815109858,0.610157295843669,0,0,0,0
12,0.6658693718684285,0.6082322126614251,0,1,0,0
88,0.8733871590698815,0.699152341859276,0,0,0,0
89,0.9772668035204954,0.595464911784692,0,1,0,0
46,0.8503907837615368,0.4935708248922187,0,1,0,0
32,0.9783598911477941,0.5339693505596786,0,0,1,0
1,0.7463731675520369,0.44824428161525137,0,1,0,0
112,0.9059465392577177,0.49210531912819705,1,0,1,0
113,0.3454675521305585,0.6568348346243501,0,1,1,0
29,0.8462297261864418,0.6124163402988589,0,0,0,0
4,0.7796238000050406,0.6334814488357386,0,1,1,0
15,0.477796810710289,0.8796650683813753,0,0,0,0
9,0.7423149022658022,0.6105508142627821,0,1,0,0
99,0.9538475180700183,0.5849792335755893,0,0,0,0
107,0.6560138165439455,0.463801260907836,0,1,0,0
19,0.8908620667214425,0.9288824747192358,0,1,0,0
89,0.6282876790135766,0.8572443341521915,0,0,0,0
22,0.8804821274992848,0.5997575090673625,0,0,0,0
44,0.8622649131362434,0.6809412499840001,0,0,0,0
72,0.6392940810677789,0.7020783150002786,0,1,0,0
86,0.9220238995009872,0.44735055784200944,0,1,0,0
105,0.5396375594425046,0.8166847467724757,0,0,1,1
6,0.7662190235884562,0.4227990096258395,0,0,0,0
24,0.8467860301478586,0.6317625078033878,0,1,0,0
34,0.49049562654815243,0.6182717175356277,3,0,1,0
37,0.4423905847619452,0.4573263089910002,0,0,0,0
